"date","replicate","treatment","original_count","burrow_count","burrow_count_comp","original_diameter","mean_burrow_diameter","mean_burrow_diameter_comp","set","mean_air_temp","mean_baro","mean_wind_speed","mean_wind_vec","mean_PAR","mean_humidity","site","ztemp.1","ztemp.2","ztemp.3","all","bc_pred","bd_pred"
"10/19/2022","3","Marine Debris",12, 4, -8,15.44500,18.572500,  3.12750000,"south",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"12", 0.22999921, 0.87678740, 0.42785688,1, -7.36016736, -0.52030148
"10/19/2022","4","aControl", 9, 1, -8,23.84222,12.750000,-11.09222222,"south",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"13", 0.22999921, 0.87678740, 0.42785688,1, -8.06478311, -4.08711721
"10/19/2022","4","Compact",17, 3,-14,19.67176,24.043333,  4.37156862,"south",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"14", 0.22999921, 0.87678740, 0.42785688,1,-14.84026385, -9.24361225
"10/19/2022","4","Rake", 6, 0, -6,17.78000, 0.000000,-17.78000000,"south",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"15", 0.22999921, 0.87678740, 0.42785688,1, -4.94216495, -5.92311801
"10/19/2022","4","Marine Debris", 6, 3, -3,23.87500,24.573333,  0.69833333,"south",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"16", 0.22999921, 0.87678740, 0.42785688,1, -3.77433580, -4.46709467
"10/19/2022","5","aControl", 9, 1, -8,16.24333, 9.740000, -6.50333333,"south",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"17", 0.22999921, 0.87678740, 0.42785688,1, -7.91083985, -4.57124383
"10/19/2022","5","Compact", 5, 0, -5,15.73800, 0.000000,-15.73800000,"south",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"18", 0.22999921, 0.87678740, 0.42785688,1, -6.13623990, -9.72773888
"10/19/2022","5","Rake", 6, 1, -5,11.61667,25.850000, 14.23333333,"south",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"19", 0.22999921, 0.87678740, 0.42785688,1, -6.52848595, -6.40724463
"10/19/2022","5","Marine Debris", 4, 1, -3,24.31000,14.100000,-10.21000000,"south",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"20", 0.22999921, 0.87678740, 0.42785688,1, -3.08783172, -4.95122129
"10/19/2022","6","aControl",10, 1, -9,29.37400,31.430000,  2.05600000,"north",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"21", 0.22999921, 0.87678740, 0.42785688,1, -6.70163415, -2.86883915
"10/19/2022","6","Compact", 8, 1, -7,26.05875,23.600000, -2.45875000,"north",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"22", 0.22999921, 0.87678740, 0.42785688,1, -7.28249234, -8.02533419
"10/19/2022","6","Rake", 8, 2, -6,24.40500,13.715000,-10.69000000,"north",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"23", 0.22999921, 0.87678740, 0.42785688,1, -6.05599026, -4.70483995
"10/19/2022","6","Marine Debris", 8, 4, -4,24.21375,21.387500, -2.82625000,"north",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"24", 0.22999921, 0.87678740, 0.42785688,1, -4.34880718, -3.24881661
"10/19/2022","7","aControl",10, 2, -8,22.16300,25.340000,  3.17700000,"north",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"25", 0.22999921, 0.87678740, 0.42785688,1, -7.31202892, -3.22150054
"10/19/2022","7","Compact", 7, 1, -6,27.66714,28.470000,  0.80285714,"north",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"26", 0.22999921, 0.87678740, 0.42785688,1, -6.86852377, -8.37799558
"10/19/2022","7","Rake",15, 3,-12,33.53267,23.860000, -9.67266667,"north",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"27", 0.22999921, 0.87678740, 0.42785688,1,-11.24682959, -5.05750134
"10/19/2022","7","Marine Debris",10, 4, -6,19.36700,37.345000, 17.97800000,"north",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"28", 0.22999921, 0.87678740, 0.42785688,1, -6.77804131, -3.60147800
"10/19/2022","8","aControl", 7, 2, -5,34.77714,37.410000,  2.63285714,"north",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"29", 0.22999921, 0.87678740, 0.42785688,1, -5.20638244, -4.38854599
"10/19/2022","8","Compact", 5, 0, -5,33.53000, 0.000000,-33.53000000,"north",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"30", 0.22999921, 0.87678740, 0.42785688,1, -4.72673014, -9.54504103
"10/19/2022","8","Rake", 5, 1, -4,23.15600, 9.230000,-13.92600000,"north",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"31", 0.22999921, 0.87678740, 0.42785688,1, -4.83551117, -6.22454679
"10/19/2022","8","Marine Debris", 4, 2, -2,22.29000,12.225000,-10.06500000,"north",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"32", 0.22999921, 0.87678740, 0.42785688,1, -2.58805321, -4.76852345
"10/19/2022","9","aControl", 7, 0, -7,14.70286, 0.000000,-14.70285714,"north",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"33", 0.22999921, 0.87678740, 0.42785688,1, -6.17052522, -3.00976894
"10/19/2022","9","Compact", 4, 0, -4,34.63250, 0.000000,-34.63250000,"north",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"34", 0.22999921, 0.87678740, 0.42785688,1, -4.09934153, -8.16626398
"10/19/2022","9","Rake", 8, 4, -4,20.37375,26.057500,  5.68375000,"north",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"35", 0.22999921, 0.87678740, 0.42785688,1, -4.81523061, -4.84576974
"10/19/2022","9","Marine Debris", 9, 5, -4,25.81889,31.126000,  5.30711111,"north",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"36", 0.22999921, 0.87678740, 0.42785688,1, -3.83725858, -3.38974640
"10/19/2022","10","aControl",14, 2,-12,19.54214,12.475000, -7.06714286,"north",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"37", 0.22999921, 0.87678740, 0.42785688,1,-12.78550011, -3.70904622
"10/19/2022","10","Compact", 6, 0, -6,18.13667, 0.000000,-18.13666667,"north",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"38", 0.22999921, 0.87678740, 0.42785688,1, -7.28434550, -8.86554127
"10/19/2022","10","Rake",11, 0,-11,19.40818, 0.000000,-19.40818182,"north",11.9493,1016.94,4.7198,346.3785,389.656,54.9885,"39", 0.22999921, 0.87678740, 0.42785688,1,-11.39394230, -5.54504702
